,key_0,With private health insurance,With public coverage,Unemployed,No health insurance coverage,No health insurance coverage,No health insurance coverage.1,No health insurance coverage.1,With health insurance coverage.1,No health insurance coverage,No health insurance coverage,X_insur,Counts
0,BK17,1101.0,950.0,2652.0,1423.0,1223.0,534.0,349.0,1971.0,1423.0,1223.0,12849.0,26221
1,BK27,360.0,336.0,1063.0,1918.0,943.0,341.0,299.0,688.0,1918.0,943.0,8809.0,21881
2,BK28,1245.0,1354.0,3928.0,7159.0,3114.0,1209.0,897.0,2521.0,7159.0,3114.0,31700.0,21127
3,BK31,1467.0,849.0,3587.0,5007.0,2400.0,1265.0,448.0,2198.0,5007.0,2400.0,24628.0,20495
4,BK32,690.0,1201.0,2902.0,9226.0,2025.0,1044.0,791.0,1747.0,9226.0,2025.0,30877.0,20295
5,BK33,855.0,657.0,2179.0,2484.0,680.0,574.0,365.0,1487.0,2484.0,680.0,12445.0,20028
6,BK34,534.0,1958.0,3987.0,10512.0,2801.0,1558.0,1003.0,2293.0,10512.0,2801.0,37959.0,19166
7,BK35,939.0,2193.0,4787.0,4045.0,2381.0,1697.0,999.0,2938.0,4045.0,2381.0,26405.0,19137
8,BK37,1711.0,331.0,3139.0,4676.0,1262.0,1042.0,307.0,2000.0,4676.0,1262.0,20406.0,18243
9,BK38,774.0,821.0,2042.0,1914.0,434.0,628.0,333.0,1353.0,1914.0,434.0,10647.0,17239
10,BK41,415.0,576.0,1457.0,3473.0,1138.0,522.0,328.0,902.0,3473.0,1138.0,13422.0,16616
11,BK42,1413.0,1997.0,5501.0,10684.0,3778.0,2128.0,1272.0,3163.0,10684.0,3778.0,44398.0,15338
12,BK61,1093.0,3119.0,6483.0,8881.0,4473.0,2169.0,1069.0,3980.0,8881.0,4473.0,44621.0,15273
13,BK63,546.0,1227.0,3117.0,2991.0,1130.0,1290.0,182.0,1729.0,2991.0,1130.0,16333.0,14618
14,BK64,462.0,244.0,1055.0,1091.0,445.0,345.0,32.0,693.0,1091.0,445.0,5903.0,14358
15,BK69,800.0,511.0,1951.0,3321.0,1526.0,622.0,402.0,1271.0,3321.0,1526.0,15251.0,14351
16,BK72,30.0,291.0,437.0,486.0,512.0,107.0,297.0,302.0,486.0,512.0,3460.0,13744
17,BK73,603.0,535.0,1754.0,5078.0,1189.0,664.0,351.0,1073.0,5078.0,1189.0,17514.0,13539
18,BK75,632.0,1823.0,3606.0,5174.0,1991.0,1087.0,918.0,2347.0,5174.0,1991.0,24743.0,13495
19,BK76,452.0,192.0,1289.0,4331.0,1308.0,635.0,154.0,614.0,4331.0,1308.0,14614.0,13268
20,BK77,577.0,951.0,3095.0,13015.0,3898.0,1548.0,632.0,1506.0,13015.0,3898.0,42135.0,13151
21,BK78,653.0,2276.0,4771.0,8754.0,2626.0,1748.0,933.0,2848.0,8754.0,2626.0,35989.0,12679
22,BK88,694.0,1286.0,2710.0,6665.0,2583.0,755.0,619.0,1855.0,6665.0,2583.0,26415.0,12560
23,BK96,804.0,1095.0,3201.0,4841.0,2102.0,1253.0,623.0,1787.0,4841.0,2102.0,22649.0,12385
24,BX01,269.0,1833.0,2489.0,2287.0,1044.0,483.0,403.0,1986.0,2287.0,1044.0,14125.0,11557
