,key_0,Armed Forces,Unemployed:,"Agriculture, forestry, fishing, hunting, and mining","Arts, entertainment, and recreation, and accommodation and food services",Construction,"Finance and insurance, and real estate and rental and leasing",Government workers,Information,"Less than $10,000.1",Manufacturing,"Natural resources, construction, and maintenance occupations","Other services, except public administration","Production, transportation, and material moving occupations","Professional, scientific, and management, and administrative and waste management services",Public administration,Self-employed in own not incorporated business workers,"Transportation and warehousing, and utilities",Unpaid family workers,Wholesale trade,With Supplemental Security Income,With cash public assistance income,With retirement income,bbl,boro_code,county_fip,incident_zip,latitude,longitude,shape_area,shape_leng,unique_key,x_coordinate_(state_plane),y_coordinate_(state_plane),X_insur,Counts
0,BK17,0.0,2505.0,17.0,1504.0,1397.0,2651.0,5272.0,602.0,1129.0,1177.0,1795.0,1431.0,3042.0,2805.0,1394.0,1353.0,2271.0,19.0,862.0,2089.0,1016.0,3941.0,3075952111.27727,3.0,47.0,11232.77418765973,40.589849983759564,-73.94330355766263,63341499.22490852,91051.02899730187,32011612.691310696,999996.7272727273,154179.88335158819,3172599972.2538447,26221
1,BK27,0.0,1029.0,10.0,1264.0,778.0,1155.0,1841.0,276.0,399.0,784.0,986.0,598.0,1334.0,1529.0,316.0,491.0,1067.0,0.0,396.0,1009.0,496.0,1761.0,3064189435.8520446,3.0,47.0,11217.067076923076,40.604041565618466,-74.00623464899388,20534621.195800547,22383.743244200297,32883797.52,982518.8043076923,159345.112,3118800854.8922806,21881
2,BK28,21.0,3730.0,55.0,4954.0,3002.0,3450.0,3878.0,810.0,832.0,2416.0,3735.0,2145.0,5189.0,3793.0,1007.0,1928.0,2683.0,30.0,1220.0,2559.0,1469.0,3719.0,3059028517.333709,3.0,47.0,11211.583857030637,40.6123301020677,-73.99555614848263,46670569.57889624,37137.43968129964,31826549.621759623,985483.8083267871,162364.82187745484,3138774475.804881,21127
3,BK31,332.0,3463.0,58.0,3128.0,2026.0,4482.0,6563.0,1322.0,750.0,1719.0,2222.0,2020.0,3282.0,4898.0,2370.0,1942.0,2410.0,0.0,723.0,1208.0,939.0,5193.0,3059857046.2797174,3.0,47.0,11210.603343283583,40.62674218569766,-74.02891180095877,67119995.31428628,44410.04567710497,31942175.429492537,976224.4410746269,167616.8127761194,3160169745.524198,20495
4,BK32,1.0,2791.0,56.0,4680.0,1962.0,1318.0,2118.0,990.0,865.0,1995.0,2489.0,1767.0,3673.0,2471.0,498.0,1421.0,1160.0,16.0,794.0,1163.0,1258.0,1119.0,3015538065.3778925,3.0,47.0,11223.5,40.650481658389815,-74.00750400445968,50035277.66800047,83342.78886979826,33376637.26435574,982167.4424019608,176264.61974789915,3100237600.304246,20295
5,BK33,8.0,2061.0,12.0,2141.0,363.0,2069.0,2803.0,2149.0,567.0,778.0,400.0,757.0,809.0,4543.0,792.0,2321.0,394.0,0.0,500.0,1054.0,491.0,1497.0,3001882007.2386923,3.0,47.0,11226.392077607114,40.68087996349502,-74.00087202126248,44601379.398101576,60820.884103597215,32433722.89054163,984008.0797089733,187339.4118027486,3080187029.975036,20028
6,BK34,15.0,3851.0,49.0,8565.0,2866.0,1281.0,2591.0,533.0,1479.0,2925.0,3211.0,2464.0,5292.0,2510.0,682.0,2411.0,1473.0,67.0,1008.0,1607.0,1748.0,1250.0,3022386177.787755,3.0,47.0,11222.98746867168,40.64302030223761,-74.00481501972968,27125856.85580002,25948.767859299995,23276014.86215539,982913.694235589,173546.10025062656,3074029575.69373,19166
7,BK35,31.0,4635.0,0.0,1816.0,1334.0,1884.0,5933.0,582.0,2093.0,761.0,1553.0,1263.0,2507.0,2727.0,1932.0,1500.0,1922.0,0.0,512.0,2776.0,2253.0,2730.0,3016462322.2478347,3.0,47.0,11221.132746641964,40.68853070032803,-73.93266921148758,31406935.743403543,28239.080557500172,33616537.27753589,1002922.8054654932,190133.97962019453,3082759073.0230255,19137
8,BK37,30.0,3042.0,62.0,4478.0,795.0,4682.0,6425.0,4709.0,315.0,1465.0,967.0,2293.0,1382.0,9906.0,1846.0,4416.0,997.0,0.0,789.0,638.0,279.0,2914.0,3008052274.0586762,3.0,47.0,11216.18550955414,40.6726546421778,-73.98271941740578,42509225.91468832,31476.809114993885,32662032.37794586,989043.4682324841,184343.1428343949,3084492058.6469374,18243
9,BK38,0.0,1981.0,0.0,1725.0,290.0,2024.0,2287.0,1432.0,675.0,826.0,399.0,803.0,601.0,3832.0,801.0,1817.0,339.0,19.0,452.0,1191.0,701.0,1300.0,3002657147.060285,3.0,47.0,11205.686173988484,40.691878098988646,-73.98535202756744,28477918.57210022,32542.898753702393,33581589.39458948,988312.0951179115,191346.63672213897,3065963574.0502687,17239
