,key_0,American Indian and Alaska Native,American Indian and Alaska Native alone,American Indian and Alaska Native.1,Asian,Asian Indian,Asian alone,Asian.1,Black or African American,Black or African American alone,Black or African American and American Indian and Alaska Native,Black or African American.1,Cherokee tribal grouping,Chinese,Chippewa tribal grouping,Cuban,Female,Female.1,Female.2,Filipino,Guamanian or Chamorro,Hispanic or Latino (of any race),Japanese,Korean,Male,Male.1,Male.2,Mexican,Native Hawaiian,Native Hawaiian and Other Pacific Islander,Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander.1,Navajo tribal grouping,Not Hispanic or Latino,One race,One race.1,Other Asian,Other Hispanic or Latino,Other Pacific Islander,Puerto Rican,Samoan,Sioux tribal grouping,Some other race,Some other race alone,Some other race.1,TOTAL HOUSING UNITS,Total population,Total population.1,Total population.2,Total population.3,Two or more races,Two or more races.1,Two or more races.2,"Two races excluding Some other race, and Three or more races",Two races including Some other race,Under 5 years,Vietnamese,White,White alone,White and American Indian and Alaska Native,White and Asian,White and Black or African American,White.1,X_race,Counts
0,BK28,621.0,77.0,715.0,32319.0,1003.0,32127.0,32513.0,769.0,550.0,15.0,1110.0,3.0,28274.0,0.0,346.0,44710.0,35363.0,7768.0,149.0,0.0,12500.0,190.0,235.0,41882.0,33100.0,5476.0,4718.0,0.0,0.0,0.0,0.0,0.0,74092.0,85885.0,85885.0,2104.0,4844.0,0.0,2592.0,0.0,0.0,4116.0,86.0,4286.0,31897.0,86592.0,86592.0,86592.0,86592.0,707.0,707.0,634.0,499.0,135.0,5091.0,364.0,48060.0,40618.0,57.0,141.0,266.0,48680.0,1104647.0,26221
1,BK31,419.0,190.0,593.0,11661.0,1102.0,11586.0,12760.0,1769.0,1108.0,70.0,2296.0,0.0,7539.0,0.0,483.0,43872.0,35454.0,7416.0,733.0,0.0,13474.0,125.0,628.0,39949.0,31328.0,4318.0,3105.0,88.0,88.0,88.0,215.0,11.0,70347.0,81933.0,81933.0,1237.0,4106.0,0.0,5780.0,0.0,0.0,4607.0,125.0,5046.0,37125.0,83821.0,83821.0,83821.0,83821.0,1888.0,1888.0,1364.0,1317.0,47.0,5244.0,297.0,63389.0,55886.0,52.0,884.0,280.0,64981.0,1057508.0,21881
2,BK32,817.0,80.0,992.0,8749.0,314.0,8589.0,9264.0,2766.0,1682.0,32.0,3362.0,0.0,6768.0,0.0,304.0,25500.0,19285.0,2669.0,733.0,0.0,34060.0,155.0,176.0,29432.0,22821.0,1726.0,12435.0,0.0,0.0,0.0,18.0,0.0,20872.0,53351.0,53351.0,588.0,11624.0,0.0,9697.0,0.0,0.0,16638.0,234.0,17286.0,18372.0,54932.0,54932.0,54932.0,54932.0,1581.0,1581.0,578.0,553.0,25.0,4340.0,15.0,24381.0,9709.0,79.0,389.0,338.0,25604.0,683643.0,21127
3,BK33,12.0,12.0,87.0,2348.0,588.0,2348.0,2864.0,4793.0,4551.0,16.0,5626.0,2.0,784.0,0.0,252.0,20958.0,17293.0,2526.0,248.0,0.0,8503.0,154.0,216.0,18464.0,14435.0,1602.0,754.0,0.0,0.0,0.0,7.0,0.0,30919.0,37796.0,37796.0,300.0,2501.0,0.0,4996.0,0.0,0.0,4879.0,31.0,5616.0,19399.0,39422.0,39422.0,39422.0,39422.0,1626.0,1626.0,835.0,797.0,38.0,2398.0,58.0,25764.0,23142.0,47.0,457.0,329.0,26871.0,495352.0,20495
4,BK35,101.0,91.0,581.0,1880.0,277.0,1880.0,2014.0,48310.0,44911.0,271.0,49081.0,17.0,513.0,0.0,130.0,35459.0,27054.0,4072.0,96.0,0.0,13632.0,69.0,55.0,28872.0,21012.0,2138.0,1266.0,0.0,10.0,0.0,27.0,0.0,50699.0,63128.0,63128.0,859.0,5763.0,10.0,6473.0,0.0,0.0,5049.0,227.0,5430.0,28484.0,64331.0,64331.0,64331.0,64331.0,1203.0,1203.0,600.0,581.0,19.0,4878.0,11.0,7778.0,2990.0,119.0,41.0,253.0,8530.0,798599.0,20295
5,BK38,64.0,58.0,192.0,3016.0,435.0,3016.0,3534.0,8643.0,7718.0,27.0,9371.0,19.0,1350.0,0.0,169.0,18146.0,15339.0,2075.0,127.0,0.0,8406.0,135.0,528.0,17227.0,13593.0,1194.0,359.0,0.0,0.0,0.0,39.0,0.0,26967.0,33902.0,33902.0,354.0,2713.0,0.0,5165.0,0.0,0.0,4106.0,115.0,4705.0,17033.0,35373.0,35373.0,35373.0,35373.0,1471.0,1471.0,780.0,723.0,57.0,2145.0,87.0,18073.0,15280.0,65.0,427.0,232.0,19104.0,445149.0,20028
6,BK41,101.0,93.0,333.0,8825.0,3344.0,8825.0,9290.0,2904.0,2770.0,0.0,3109.0,7.0,1760.0,0.0,56.0,18462.0,13671.0,2100.0,74.0,0.0,5035.0,190.0,148.0,17737.0,12861.0,1597.0,2449.0,0.0,0.0,0.0,21.0,0.0,31164.0,35249.0,35249.0,3198.0,1358.0,0.0,1172.0,0.0,0.0,3176.0,169.0,3331.0,12560.0,36199.0,36199.0,36199.0,36199.0,950.0,950.0,759.0,704.0,55.0,2914.0,111.0,20243.0,18548.0,167.0,357.0,166.0,21065.0,454173.0,19137
7,BK42,284.0,221.0,619.0,8834.0,1097.0,8785.0,9654.0,53608.0,50730.0,106.0,55047.0,19.0,1771.0,0.0,367.0,57048.0,43866.0,6181.0,214.0,19.0,20103.0,144.0,429.0,48046.0,35651.0,3673.0,7412.0,43.0,99.0,28.0,115.0,0.0,84991.0,102720.0,102720.0,4949.0,7942.0,19.0,4382.0,18.0,0.0,11039.0,949.0,11706.0,40161.0,105094.0,105094.0,105094.0,105094.0,2374.0,2374.0,1528.0,1316.0,212.0,7472.0,230.0,28856.0,22750.0,84.0,540.0,725.0,30529.0,1305175.0,18243
8,BK61,157.0,101.0,590.0,2128.0,463.0,2114.0,2793.0,76884.0,73661.0,143.0,78166.0,47.0,604.0,0.0,155.0,55688.0,43965.0,7279.0,158.0,189.0,11610.0,164.0,25.0,44442.0,33383.0,3849.0,1274.0,0.0,236.0,47.0,253.0,0.0,88520.0,98201.0,98201.0,714.0,6138.0,47.0,4043.0,0.0,0.0,6363.0,288.0,6981.0,46002.0,100130.0,100130.0,100130.0,100130.0,1929.0,1929.0,1491.0,1296.0,195.0,6469.0,0.0,12433.0,10818.0,71.0,296.0,369.0,13557.0,1247439.0,17239
9,BK63,76.0,76.0,149.0,577.0,41.0,577.0,614.0,27257.0,26172.0,73.0,27520.0,0.0,282.0,0.0,63.0,21616.0,16232.0,2555.0,0.0,0.0,3154.0,41.0,182.0,19627.0,13839.0,1462.0,93.0,0.0,0.0,0.0,23.0,0.0,38089.0,40948.0,40948.0,15.0,2297.0,0.0,701.0,0.0,0.0,1801.0,237.0,1826.0,15630.0,41243.0,41243.0,41243.0,41243.0,295.0,295.0,287.0,270.0,17.0,2953.0,16.0,11237.0,10740.0,0.0,24.0,137.0,11434.0,507470.0,16616
