,key_0,"$100,000 to $149,999","$100,000 to $149,999.1","$150,000 to $199,999","$150,000 to $199,999.1","$200,000 or more","$200,000 or more.1","$25,000 to $34,999","$25,000 to $34,999.1","$35,000 to $49,999.1","$50,000 to $74,999","$50,000 to $74,999.1","$75,000 to $99,999","$75,000 to $99,999.1",X_salary,Counts
0,BK17,3727.0,3231.0,1153.0,963.0,987.0,929.0,2596.0,1588.0,1628.0,3762.0,2552.0,2920.0,2308.0,28344.0,26221
1,BK27,1497.0,1297.0,421.0,360.0,360.0,312.0,1244.0,794.0,1110.0,1654.0,1288.0,1234.0,919.0,12490.0,21881
2,BK28,3062.0,2559.0,1207.0,1056.0,591.0,523.0,3855.0,2712.0,3665.0,5735.0,4466.0,2538.0,2076.0,34045.0,21127
3,BK31,4464.0,3005.0,2481.0,1940.0,2093.0,1639.0,3151.0,1509.0,2433.0,5995.0,3370.0,4388.0,2500.0,38968.0,20495
4,BK32,1824.0,1162.0,425.0,321.0,419.0,309.0,1913.0,1542.0,1720.0,2909.0,1861.0,1644.0,1127.0,17176.0,20295
5,BK33,2990.0,1592.0,1535.0,761.0,2340.0,1769.0,1153.0,640.0,832.0,2545.0,1259.0,1852.0,789.0,20057.0,20028
6,BK34,1492.0,1193.0,407.0,321.0,287.0,232.0,2751.0,2286.0,2319.0,3230.0,2346.0,1766.0,1202.0,19832.0,19166
7,BK35,2134.0,1434.0,854.0,676.0,426.0,337.0,2422.0,1310.0,2055.0,3636.0,2306.0,2298.0,1586.0,21474.0,19137
8,BK37,6083.0,3371.0,3590.0,2373.0,5385.0,3970.0,1261.0,533.0,1119.0,4804.0,1925.0,3903.0,1660.0,39977.0,18243
9,BK38,2084.0,880.0,1369.0,765.0,2358.0,1578.0,995.0,473.0,742.0,1575.0,648.0,1502.0,525.0,15494.0,17239
10,BK41,989.0,712.0,590.0,518.0,332.0,282.0,1269.0,878.0,1032.0,2064.0,1413.0,1272.0,802.0,12153.0,16616
11,BK42,3441.0,2516.0,1276.0,1064.0,914.0,706.0,4535.0,3058.0,3876.0,6848.0,4561.0,3792.0,2442.0,39029.0,15338
12,BK61,3290.0,1972.0,907.0,673.0,584.0,479.0,4495.0,2556.0,3628.0,6412.0,3739.0,3401.0,2038.0,34174.0,15273
13,BK63,1336.0,1021.0,324.0,297.0,286.0,242.0,1641.0,1044.0,1221.0,2205.0,1433.0,1551.0,1240.0,13841.0,14618
14,BK64,1937.0,886.0,850.0,479.0,1047.0,718.0,576.0,206.0,272.0,1623.0,530.0,1080.0,340.0,10544.0,14358
