,key_0,10 to 14 years,15 to 19 years,18 years and over,18 years and over.1,20 to 24 years,21 years and over,25 to 34 years,35 to 44 years,45 to 54 years,5 to 9 years,55 to 59 years,60 to 64 years,62 years and over,65 to 74 years,65 years and over,65 years and over.1,75 to 84 years,85 years and over,X_age,Counts
0,BK28,5017.0,5283.0,68463.0,68463.0,5894.0,65303.0,13943.0,11443.0,11884.0,4671.0,5197.0,4925.0,15702.0,6872.0,13244.0,13244.0,4073.0,2299.0,325920.0,26221
1,BK31,3981.0,4670.0,66782.0,66782.0,4917.0,64104.0,14136.0,12637.0,11878.0,4870.0,5109.0,4645.0,14408.0,5916.0,11734.0,11734.0,4028.0,1790.0,314121.0,21881
2,BK32,3016.0,3040.0,42106.0,42106.0,4887.0,40014.0,12509.0,7813.0,6513.0,3811.0,2741.0,1867.0,5527.0,2287.0,4395.0,4395.0,1429.0,679.0,189135.0,21127
3,BK33,1936.0,1595.0,31728.0,31728.0,1883.0,30756.0,9184.0,7377.0,4576.0,2346.0,2333.0,1666.0,5118.0,2056.0,4128.0,4128.0,1422.0,650.0,144610.0,20495
4,BK35,4312.0,4478.0,48066.0,48066.0,5326.0,45226.0,10603.0,9019.0,8682.0,4337.0,3422.0,3064.0,7771.0,3961.0,6210.0,6210.0,1652.0,597.0,221002.0,20295
5,BK38,1487.0,1448.0,28932.0,28932.0,2276.0,27806.0,8988.0,6349.0,4529.0,2038.0,1339.0,1505.0,4133.0,1857.0,3269.0,3269.0,928.0,484.0,129569.0,20028
6,BK41,2704.0,2543.0,26532.0,26532.0,2562.0,24990.0,6184.0,5135.0,4191.0,2508.0,1673.0,2088.0,4850.0,1946.0,3697.0,3697.0,1230.0,521.0,123583.0,19137
7,BK42,6727.0,7755.0,79517.0,79517.0,8663.0,74635.0,16322.0,15095.0,15188.0,6855.0,6084.0,5079.0,12513.0,5955.0,9854.0,9854.0,2808.0,1091.0,363512.0,18243
8,BK61,6597.0,7507.0,77348.0,77348.0,7484.0,73100.0,18898.0,13501.0,13745.0,5193.0,4898.0,4710.0,13735.0,6357.0,11128.0,11128.0,3073.0,1698.0,357448.0,17239
9,BK63,3317.0,2827.0,30071.0,30071.0,4298.0,28083.0,5829.0,4935.0,5182.0,3246.0,2627.0,2012.0,5415.0,2265.0,4017.0,4017.0,1347.0,405.0,139964.0,16616
10,BK64,545.0,660.0,17454.0,17454.0,1174.0,16905.0,5861.0,3966.0,2352.0,878.0,1286.0,877.0,2174.0,994.0,1637.0,1637.0,396.0,247.0,76497.0,15338
11,BK69,1290.0,1911.0,30518.0,30518.0,4569.0,28292.0,8290.0,6195.0,3367.0,1762.0,1850.0,1704.0,4150.0,1952.0,3284.0,3284.0,807.0,525.0,134268.0,15273
12,BK72,3620.0,3279.0,17130.0,17130.0,3064.0,15430.0,3960.0,2416.0,2161.0,3773.0,1306.0,987.0,2644.0,796.0,2099.0,2099.0,770.0,533.0,83197.0,14618
13,BK73,2315.0,2361.0,37026.0,37026.0,4123.0,35142.0,13445.0,7162.0,4860.0,2480.0,1684.0,1405.0,4068.0,1683.0,3218.0,3218.0,1014.0,521.0,162751.0,13744
14,BK75,5326.0,5255.0,48544.0,48544.0,6497.0,45230.0,12341.0,9768.0,7375.0,5714.0,2597.0,2716.0,6610.0,3003.0,5229.0,5229.0,1786.0,440.0,222204.0,13539
15,BK76,914.0,879.0,28194.0,28194.0,2653.0,27509.0,10463.0,4465.0,4068.0,878.0,2045.0,1519.0,3608.0,1314.0,2701.0,2701.0,986.0,401.0,123492.0,13495
16,BK78,5144.0,5310.0,53355.0,53355.0,6751.0,49944.0,14537.0,9218.0,8255.0,5066.0,3388.0,2754.0,7795.0,3644.0,6239.0,6239.0,2003.0,592.0,243589.0,13268
17,BK88,9717.0,8580.0,65900.0,65900.0,8122.0,61288.0,15161.0,10136.0,10000.0,11024.0,4855.0,4934.0,12515.0,3941.0,9943.0,9943.0,3565.0,2437.0,317961.0,13151
